type	productId	name	mainImageUrl	lifestyleUrl	moreImages	video/s	category	collection	artist	artistName	color	colorStory	single/bundle	quantity	keywords	room	ribbon	bio	emotionalEnergy	scale	meaning	downloadLinkUrl	originalPrice	discount	newPrice
Product	9182769	Simplicity #03	1799ca_ff6aed71cf674476ae26654afafd1218~mv2.jpg										Bundle										39.95	80%	7.99
Product	9182775	Gallery No. 32	1799ca_ced907c049974c94af63cd0231ba274e~mv2.jpg				Children;Kids						Bundle										39.95	80%	7.99
Product	9182776	Gallery No. 30	1799ca_84e000c32346471e8face3323e20bd44~mv2.jpg				Children;Kids						Bundle										39.95	80%	7.99
Product	9182860	Gallery No. 06	1799ca_6dc47610f1e844b588cccef576831f76~mv2.jpg				Red;Combinations;Pink						Bundle										39.95	80%	7.99
Product	9182856	Gallery No. 44	1799ca_5404ff324d204e17bb92d93bd26bf5d3~mv2.jpg				Living Room						Bundle										39.95	80%	7.99
Product	9182879	Gallery No. 33	1799ca_3f69a2552aae40e19226a86cca9b4226~mv2.jpg				Kitchen;Combinations						Bundle										39.95	80%	7.99
Product	9182780	Art of Life #03	1799ca_37bf2a3d0a854b82b7728381206610cb~mv2.jpg										Bundle										39.95	80%	7.99
Product	9182773	Gallery No. 31	1799ca_320273e7787f43c39806625b01d729b0~mv2.jpg				Children;Kids						Bundle										39.95	80%	7.99
Product	9182875	Gallery No. 36	1799ca_1f5af6c07c1a485b8308786f2d551e68~mv2.jpg				Children;Kids						Bundle										39.95	80%	7.99
Product	9182774	Gallery No. 29	1799ca_119bc55c469647b5afd83fda3f667db3~mv2.jpg				Children;Kids						Bundle										39.95	80%	7.99
Product	9182783	Gallery No. 21	1799ca_0e00f3e9eda240948d1bead9e36ea82e~mv2.jpg				Children;Kids						Bundle										39.95	80%	7.99
Product	9182908	Gallery No. 03	1799ca_038f9131b70a4acc81f1233fe3c227c9~mv2.jpg				Green;Combinations						Bundle										39.95	80%	7.99
Product	9182748	Gallery No. 46	1799ca_034fa918105b40fc999fd4b53d54cfdd~mv2.jpg										Bundle										39.95	80%	7.99
Product	9182783	Hues of Harmony #02	1799ca_01ea022d568c4ad08b4d5e8552a15ba1~mv2.jpg										Bundle										39.95	80%	7.99
