id	image_link	additional_image_link	link	title	product_category	description	price	availability	brand
PAP2502	https://static.wixstatic.com/media/1799ca_a62d9a923c5c405cb253b76b1797c080~mv2.jpg	https://static.wixstatic.com/media/1799ca_bfed7ea1060f4102a56b7a5c1437ee82~mv2.jpg	https://www.artebarte.co.il/prints-posters	Buddha's Standpoint	Art Prints,Black & White,Famous Artists,First Slider,Portrait	Buddha's Standpoint	95.00 ILS	in stock	ArteBarte
PAP2503	https://static.wixstatic.com/media/1799ca_ec348e50e87c4017a8b2d02ced919a71~mv2.gif	https://static.wixstatic.com/media/1799ca_eb761172ab914699899530866d60d0b1~mv2.gif	https://www.artebarte.co.il/prints-posters	Eiffel Tower - Robert Delaunay	Art Prints,Famous Artists,Portrait	Eiffel Tower - Robert Delaunay	95.00 ILS	in stock	ArteBarte
PAP2504	https://static.wixstatic.com/media/1799ca_6050539105164e9bb42b87e65bacc603~mv2.jpg	https://static.wixstatic.com/media/1799ca_99bf719b1f9649be90e54a4b83e30e30~mv2.jpg	https://www.artebarte.co.il/prints-posters	La Japonaise	Art Prints,Famous Artists,Portrait	La Japonaise	95.00 ILS	in stock	ArteBarte
PAP2505	https://static.wixstatic.com/media/1799ca_031ecb8c9ced4963b1985c30056064a0~mv2.gif	https://static.wixstatic.com/media/1799ca_706198eac03a4693a4d0782c5e7a1953~mv2.jpg	https://www.artebarte.co.il/prints-posters	Le Buisson	Art Prints,Famous Artists,Portrait	Le Buisson	95.00 ILS	in stock	ArteBarte
PAP2506	https://static.wixstatic.com/media/1799ca_8d87efb4b9e0457da0d5a048392b6e53~mv2.jpg	https://static.wixstatic.com/media/1799ca_6762f337594b437d82ba8a45973f1222~mv2.jpg	https://www.artebarte.co.il/prints-posters	Blue Marigold	Art Prints,Famous Artists,Portrait	Blue Marigold	95.00 ILS	in stock	ArteBarte
PAP2507	https://static.wixstatic.com/media/1799ca_1c2beeebefef46beb7fe5c13e6c4effd~mv2.gif	https://static.wixstatic.com/media/1799ca_afc08a1824e04e16bfbfeda3c0a3b4f7~mv2.jpg	https://www.artebarte.co.il/prints-posters	Hilma af Klint #6	Art Prints,Famous Artists,Portrait	Hilma af Klint #6	95.00 ILS	in stock	ArteBarte
PAP2508	https://static.wixstatic.com/media/1799ca_f5569a46bad343aea77c96ccfd2d2582~mv2.jpg	https://static.wixstatic.com/media/1799ca_c5b8f3e4f6514b86bcf570f167555b40~mv2.jpg	https://www.artebarte.co.il/prints-posters	Please don't do coke in the bathroom	Art Prints,First Slider,Portrait,Typography	Please don't do coke in the bathroom	95.00 ILS	in stock	ArteBarte
PAP2509	https://static.wixstatic.com/media/1799ca_97ff30c80495454da5e30b13947da596~mv2.jpg	https://static.wixstatic.com/media/1799ca_c7d59cf934cc4369a1dd7d087234103e~mv2.jpg	https://www.artebarte.co.il/prints-posters	Essence of Line	Art Prints,Illustrations,Portrait	Essence of Line	95.00 ILS	in stock	ArteBarte
PAP2510	https://static.wixstatic.com/media/1799ca_1f6ec8cea98845e7bc080af9b77af2e2~mv2.jpg	https://static.wixstatic.com/media/1799ca_663e81fcb0c049d08a8645df83394c6b~mv2.jpg	https://www.artebarte.co.il/prints-posters	American Flamingo	Art Prints,Painting,Portrait,Vintage	American Flamingo	95.00 ILS	in stock	ArteBarte
PAP2511	https://static.wixstatic.com/media/1799ca_e82ed2a2955d42a3b672c87f4c5fd213~mv2.jpg	https://static.wixstatic.com/media/1799ca_d2c08f08975b49a3bba2e87efa8f6969~mv2.jpg	https://www.artebarte.co.il/prints-posters	Sandestin	Art Prints,Illustrations,Lifestyle,Portrait	Sandestin	95.00 ILS	in stock	ArteBarte
PAP2512	https://static.wixstatic.com/media/1799ca_067b18bd5ade4bf182cad50769cf5c05~mv2.gif	https://static.wixstatic.com/media/1799ca_4e2e6611465849e9a4e5e473134a2e78~mv2.jpg	https://www.artebarte.co.il/prints-posters	Let's get naked	Art Prints,Portrait,Typography	Let's get naked	95.00 ILS	in stock	ArteBarte
PAP2513	https://static.wixstatic.com/media/1799ca_80d2593dad824a66ae0b20d961994ec2~mv2.jpg	https://static.wixstatic.com/media/1799ca_45c2ce9783764e3aba8a522966582e3a~mv2.jpg	https://www.artebarte.co.il/prints-posters	Nonchalant	Art Prints,Portrait,Typography	Nonchalant	95.00 ILS	in stock	ArteBarte
PAP2514	https://static.wixstatic.com/media/1799ca_6d3d27bac89f472d8c2556a616efac74~mv2.jpg	https://static.wixstatic.com/media/1799ca_22ce2d3cf50b48aea9bf16368164000e~mv2.jpg	https://www.artebarte.co.il/prints-posters	Make your mind a good place to be	Art Prints,Portrait,Typography	Make your mind a good place to be	95.00 ILS	in stock	ArteBarte
PAP2515	https://static.wixstatic.com/media/1799ca_2f9acb0a38cb43c192fafd3b419dddc3~mv2.gif	https://static.wixstatic.com/media/1799ca_0e02e55d88dc4cee9024e96ab8d5e0a4~mv2.jpg	https://www.artebarte.co.il/prints-posters	Pomodoro	Art Prints,Illustrations,Lifestyle,Portrait	Pomodoro	95.00 ILS	in stock	ArteBarte
PAP2516	https://static.wixstatic.com/media/1799ca_b910dd7dc9c44e448b4d83a25c11d3a1~mv2.gif	https://static.wixstatic.com/media/1799ca_8b3bac3ec4c34c07a685627261c92c0b~mv2.gif	https://www.artebarte.co.il/prints-posters	Santorini	Art Prints,Illustrations,Lifestyle,Portrait	Santorini	95.00 ILS	in stock	ArteBarte
PAP2517	https://static.wixstatic.com/media/1799ca_c01f680106764cfab63b87421eeafe06~mv2.jpg	https://static.wixstatic.com/media/1799ca_e12d1f662b184eed9d51a3c219a09639~mv2.jpg	https://www.artebarte.co.il/prints-posters	Bora bora	Abstract,Art Prints,Illustrations,Portrait	Bora bora	95.00 ILS	in stock	ArteBarte
