dec24_list
new_catalog,,,,,,,,,,,,,,,,,,,,,,,,,
type,productId,name,mainImageUrl,lifestyleUrl,moreImages,video/s,category,collection,artist,artistName,color,colorStory,single/bundle,quantity,keywords,room,ribbon,bio,emotionalEnergy,scale,meaning,downloadLinkUrl,originalPrice,discount,newPrice
Product,9182853,Indian Reed,1799ca_ee701276b8ab49e0bcf1c2cb6626d29e~mv2.png,1799ca_fffa1f630f7741948c3fae20f51cb32f~mv2.png,,,Paintings;Robert John Thornton;Famous Painters;Botanical;Prints & Posters,,,,,,,,,,,,,,,,19.95,60%,7.98
Product,9182930,Orca Rectipinna,1799ca_ef25d0b96ab24cd9bb08c2fcee8d20ee~mv2.png,1799ca_ff96815cac114af39de3a367c531877d~mv2.png,,,Prints & Posters;Paintings;Best Selling Famous Painters,,,,,,,,,,,,,,,,19.95,75%,4.98
Product,9182842,Cypresses,1799ca_e0b59964bde74495a9d175532fa74e66~mv2.png,1799ca_fd3a6e222ef24d16bb40d6054ceaaf3b~mv2.jpg,,,Prints & Posters;Paintings;Famous Painters;Vincent van Gogh,,,,,,,,,,,,,,,,19.95,50%,9.97
Product,9182749,Coffee Time,1799ca_f41a91e2b4dd43838a7827d4a7f74162~mv2.jpg,1799ca_fc6ede358fde4f7987103b45b117d858~mv2.jpg,,,Prints & Posters;Black and White;Photography;Fashion,,,,,,,,,,,,,,,,19.95,60%,7.98
Product,8349201,Pink Flower,1799ca_94bba00991c2493eaafe6426044e26f3~mv2.jpg,1799ca_fbbb0b23f3b048469c940609056343fb~mv2.jpg,,,Children;Kids,,,,,,,,,,,,,,,,19.95,75%,4.98
Product,9182832,Home Sweet Home,1799ca_d84cf2855017494fb18a6eadf306cbf2~mv2.jpg,1799ca_fb12c4b1f5dd408382f3100d86751d78~mv2.jpg,,,Prints & Posters;Bestsellers;Typography,,,,,,,,,,,,,,,,19.95,60%,7.98
Product,9182924,Girl By The Window,1799ca_559379e345474abc9d414494d3e472f0~mv2.jpg,1799ca_f950bf592e244e19a042af0c999d904c~mv2.jpg,,,Black and White;Photography;Prints & Posters;Bestsellers,,,,,,,,,,,,,,,,19.95,55%,8.97
Product,9182869,Mykonos Abstract,1799ca_8865278c313d4f7f87467c81feb55452~mv2.jpg,1799ca_f92b2eb87c9c478ca16ef34d93951cb7~mv2.jpg,,,Blue;Illustrations;Prints & Posters;Abstract;Bestsellers,,,,,,,,,,,,,,,,19.95,60%,7.98
Product,9182749,Happy!,1799ca_f070e6a8bc76421eac3095f749afb04e~mv2.jpg,1799ca_f8072857a1be418fac3aca129b0d52ed~mv2.jpg,,,Typography,,,,,,,,,,,,,,,,19.95,70%,5.98
Product,4829103,Bauhaus 14,1799ca_2e264ca55d5b4078b7b4a8713ac14d60~mv2.jpg,1799ca_f760f36500994ef7948095550286d89e~mv2.jpg,,,Bauhaus,,,,,,,,,,,,,,,,19.95,50%,9.97
