fieldType,name,productImageUrl,sku,ribbon,price,visible,discountMode,discountValue,cost,digital file,collection,category,color,fieldType
Product,La Femme en Jaune,1799ca_683b4f2013294f82bdda79616b9057a3~mv2.jpg;1799ca_3b1a7113e32a4652a6cba339d7598187~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Verdant Haze,1799ca_ec97043da16a438ab2276a28607ea8a1~mv2.jpg;1799ca_a7e69a84d43242159556373bd37d52df~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Vinho do porto,1799ca_717bc54fe4f74c89b1e7a9e61b7f33d2~mv2.jpg;1799ca_99a7bfee644d41fd817cfdb508b551d8~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Sardines,1799ca_bb292d5bf65e4ad58caed41e190ba4e9~mv2.jpg;1799ca_31d4118a1e18482fac2d9ddf4a19ebc6~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,California '90s #07,1799ca_7f1aa88f51ec4d43aab5270df97c5e0f~mv2.jpg;1799ca_1671eb82bc294c4a93991e8480b49767~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Dotty the Ladybug,1799ca_7cc6297a612c48e587d80f09e9daa20c~mv2.jpg;1799ca_11f8e96e934e4b4b969b0fc4ba42a053~mv2.jpg;1799ca_686c37ba41c84cb7a724353aa020f6b4~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Pinkie the Flamingo,1799ca_850a05ec67114f1daad006ddf0486081~mv2.jpg;1799ca_f69678868bbe4705a5437f214f473023~mv2.jpg;1799ca_62e7a49547f74e0b82de55d7daed7269~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Goosie the Goose,1799ca_da5e636dc48444198827f1cae2140bf9~mv2.jpg;1799ca_01dba668174f4b3baed4f975d1d108f4~mv2.jpg;1799ca_1912faea81d240db8e51b6339f4d289d~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Swampy the Alligator,1799ca_d08082fe24114ac88a3043cb3b9e3cb9~mv2.jpg;1799ca_5dd10cc99c3c4743a0b8c9262c8b5549~mv2.jpg;1799ca_fae91edf031d44c98e70ccf4ebc7e8c5~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,California '90s #06,1799ca_0eb3d2182e2842e4893e5790e81852fd~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,California '90s #05,1799ca_88f85bd871cd427ca001e24cfbc9366a~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,California '90s #04,1799ca_6f5aa64f96d741ffb5628bb9b79b8566~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,California '90s #03,1799ca_898712cb71274f36b2f73534f613753f~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,California '90s #02,1799ca_e6e84fb6e45643dab06698d71bd23d37~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,California '90s #01,1799ca_6d32506acf014176bf8ada6222eaf950~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Home!,1799ca_a1a20bf5ca9342f2b9ca85367f1ecf5d~mv2.jpg;1799ca_a28dcbbfa6dd4ea8bd682b9733b6e4f2~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Roses (1890),1799ca_979ec283785346589c53579592e66e9e~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Gallery No. 61,1799ca_f7c61fdf084d43d1a59712ffd0c7975d~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Azure Drift,1799ca_92c5881ecc9547ef943ed1f3531c05ae~mv2.jpg;1799ca_d371c9adac41470e91c78547ea14e597~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Paired Silence,1799ca_f68a452c8c7845e79cec826739a35376~mv2.jpg;1799ca_bd96e41289c14ba78b9002c884565e0b~mv2.png;1799ca_9533262267a045d085a7e06c39f61e45~mv2.jpg;1799ca_51612a8862cf4031b40de79ba69a1992~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Happy!,1799ca_f070e6a8bc76421eac3095f749afb04e~mv2.jpg;1799ca_f8072857a1be418fac3aca129b0d52ed~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,123...,1799ca_cc1c84195e7142e4b2d1d0e3b558a321~mv2.jpg;1799ca_a455b9cccb4e47fa8ab22f9fc499a684~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Dream big,1799ca_812b1c87ea7f42759644041b94898015~mv2.jpg;1799ca_901244fb4d124087afa116875182412a~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Two birds,1799ca_b7c36c8b7dfb48a0aa3dae45d4b68a6a~mv2.jpg;1799ca_986c5227446c4a76b78bc81c4f66a2fa~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
