type	productId	name	mainImageUrl	lifestyleUrl	moreImages	video/s	category	collection	artist	artistName	color	colorStory	single/bundle	quantity	keywords	room	ribbon	bio	emotionalEnergy	scale	meaning	downloadLinkUrl	originalPrice	discount	newPrice
Product	26001	Hilma's Perfect Pair	1799ca_2e8a5c0bb56b453296285aeafe7f03f9~mv2.jpg																				19.95	60%	7.98
Product	26002	Bright palette	1799ca_94640452fec84dbc9dc956fc6270267c~mv2.jpg																				19.95	60%	7.98
Product	26003	La Bohème	1799ca_06b90b88decb431a825212f44b3e0c81~mv2.jpg																				19.95	60%	7.98
Product	26004	The Cat	1799ca_5d97438374b64f6dbd59dd051a76271d~mv2.jpg																				19.95	60%	7.98
Product	26005	Fragments of Sky	1799ca_d7a21cdc1f804627a94e86ac72cac18c~mv2.jpg																				19.95	60%	7.98
Product	26006	Amalfi Coast	1799ca_332dffe5cc364286846c76a330deaf70~mv2.jpg																				19.95	60%	7.98
Product	26007	Nude With Oranges	1799ca_c818bedaf22b4f22b0d9ebb51e98c0a1~mv2.jpg																				19.95	60%	7.98
Product	26008	Tulum Beach	1799ca_0e9979492c8e4165a4088dee7d60975b~mv2.jpg																				19.95	60%	7.98
Product	26009	Nonchalant	1799ca_80d2593dad824a66ae0b20d961994ec2~mv2.jpg																				19.95	60%	7.98
Product	26010	What if it all works out?	1799ca_16d3e9645aa84189b593e92c97513c24~mv2.jpg																				19.95	60%	7.98
Product	26011	Burst of Horizon	1799ca_9c7c4b6ecf444f7f8b1fc48c81cb4a72~mv2.jpg																				19.95	60%	7.98
Product	26012	Bauhaus Signet	1799ca_564dffb2e7374dce8c9ebad373fb104b~mv2.jpg																				19.95	60%	7.98
Product	26013	Gift Card	11062b_7226a7a096fc42a29423a60a82573a20~mv2.jpeg																				19.95	60%	7.98
Product	26014	Vintage palm tree #01	1799ca_26dcfca28a1e4ab79f39be0ca82a3f9d~mv2.gif																				19.95	60%	7.98
Product	26015	Flower Market - Manchester	1799ca_08094896a8ee4d8aa1da58725c089ace~mv2.jpg																				19.95	60%	7.98
Product	26016	Golden Hour Bundle	1799ca_4ecf29b52ba7418e8d8a6e2854818f75~mv2.jpg																				19.95	60%	7.98
Product	26017	Casa Sirocco	1799ca_f6c4b64030694c81841d7bd4ad1b7163~mv2.jpg																				19.95	60%	7.98
Product	26018	Bauhaus Pink/Blue	1799ca_ab33d9cc1a334c2bb8cd32b5df5d11f3~mv2.jpg																				19.95	60%	7.98
Product	26019	The Beach and the Falaise d'Amont	1799ca_dc47482e4f1a44e09d64e9a3553a9a41~mv2.jpg																				19.95	60%	7.98
Product	26020	You & me	1799ca_b8a092a9e8da4462a54bd4128bc87280~mv2.jpg																				19.95	60%	7.98
Product	26021	LP Bauhaus II	1799ca_eb2a7c855e814b269abc36901026f97a~mv2.jpg																				19.95	60%	7.98
Product	26022	Pink Magic	1799ca_4a15d01d66f548b68e710b2edf749506~mv2.jpg																				19.95	60%	7.98
Product	26023	Lines of moments	1799ca_d9b244ddae974a25ae2509cffe7cb91a~mv2.jpg																				19.95	60%	7.98
Product	26024	Flower Market - Tokyo	1799ca_30c5df7817f744b98e495db406d8a927~mv2.jpg																				19.95	60%	7.98
Product	26025	Curvy Lady	1799ca_268b000230fa4476a2455503dc23b46f~mv2.jpg																				19.95	60%	7.98
Product	26026	Contemoprary Shape #01	1799ca_e9b9a001f19c404880cccf6f26f34a3a~mv2.jpg																				19.95	60%	7.98
Product	26027	Woman's head drawing by Leo Gestel	1799ca_b672d2747f984e73b7776ea9eb043989~mv2.jpg																				19.95	60%	7.98
Product	26028	Bedroom Flair	1799ca_b4b0936113a3474287e54944731bf971~mv2.jpg																				19.95	60%	7.98
Product	26029	LA Palm Trees	1799ca_050706495b964011a8bcd18c127eacd2~mv2.jpg																				19.95	60%	7.98
Product	26030	La Boheme I	1799ca_9c675f167d4a4c3cab39b642ac66f032~mv2.jpg																				19.95	60%	7.98
Product	26031	Bauhaus Text	1799ca_4a3509b4b1404f4598ca5da2b9216819~mv2.jpg																				19.95	60%	7.98
Product	26032	Flower Market - Monte Carlo	1799ca_345fad9059b94b7db2220b73fb6c269c~mv2.jpg																				19.95	60%	7.98
Product	26033	Palm Tree Sunset	1799ca_9e1b0ff1782c4a2f8a3feaacdf873b32~mv2.jpg																				19.95	60%	7.98
Product	26034	Bicycle Bauhaus	1799ca_944a7374eeee43e18c8cf692bd38e06e~mv2.jpg																				19.95	60%	7.98
Product	26035	The Bauhaus Edit	1799ca_c3721b058946470596088ed3e79f1237~mv2.jpg																				19.95	60%	7.98
Product	26036	Bauhaus Blue	1799ca_f385595b6b7c403b809a24f489f3f9ac~mv2.jpg																				19.95	60%	7.98
Product	26037	Rocks Abstract	1799ca_283f9bdf264e4872b7b5b9cee3e7d571~mv2.jpg																				19.95	60%	7.98
Product	26038	Coral Bloom	1799ca_b91b19659a2747c199878364c187bb79~mv2.jpg																				19.95	60%	7.98
Product	26039	Bauhaus Stairway	1799ca_134cb999a0d34fbcbfc46fdcc83955a7~mv2.jpg																				19.95	60%	7.98
Product	26040	Negroni	1799ca_67c491bebf5448cd901339df2df3ee60~mv2.gif																				19.95	60%	7.98
Product	26041	Infinite	1799ca_e9f8f9fe211c4030b01d5689f9cc9c6e~mv2.jpg																				19.95	60%	7.98
Product	26042	Soft Horizons	1799ca_bc995fc8c4034b2ba59b21fa7f4c90ba~mv2.jpg																				19.95	60%	7.98
Product	26043	Green Palette	1799ca_518ab0df7c1348fe978d024270d61045~mv2.jpg																				19.95	60%	7.98
Product	26044	Citrus & Spirit	1799ca_61918e5c2ea54edbb91af4d7d99b3f22~mv2.jpg																				19.95	60%	7.98
Product	26045	Buddha's Standpoint	1799ca_a62d9a923c5c405cb253b76b1797c080~mv2.jpg																				19.95	60%	7.98
Product	26046	Wine & Dinner	1799ca_b8e5bec04ef4440087a2d1f37d216091~mv2.jpg																				19.95	60%	7.98
Product	26047	Blue Marigold	1799ca_8d87efb4b9e0457da0d5a048392b6e53~mv2.jpg																				19.95	60%	7.98
Product	26048	Compassion	1799ca_1a9a3ce69a104554a63f1b225803eadc~mv2.jpg																				19.95	60%	7.98
Product	26049	American Flamingo	1799ca_1f6ec8cea98845e7bc080af9b77af2e2~mv2.jpg																				19.95	60%	7.98
Product	26050	Jungle of colors	1799ca_4a7f8f1fceb94f54900935e8dabbafdc~mv2.jpg																				19.95	60%	7.98
Product	26051	Mood	1799ca_0109baf46d0d40c5ac160196c201767b~mv2.jpg																				19.95	60%	7.98
Product	26052	Crystal Tides	1799ca_cc6c07138f5c4781ac4a1bae33036471~mv2.jpg																				19.95	60%	7.98
Product	26053	Sky's Embrace	1799ca_5cbe0b6f2c2044fdae067f4ec86e662c~mv2.jpg																				19.95	60%	7.98
Product	26054	Home sweet home	1799ca_ddc4aeada4054051a9eb18a98a940008~mv2.jpg																				19.95	60%	7.98
Product	26055	Make your mind a good place to be	1799ca_6d3d27bac89f472d8c2556a616efac74~mv2.jpg																				19.95	60%	7.98
Product	26056	copy of Tiggy	1799ca_d8e26e8e25794122b2e0059374a63668~mv2.jpg																				19.95	60%	7.98
Product	26057	Le Buisson	1799ca_031ecb8c9ced4963b1985c30056064a0~mv2.gif																				19.95	60%	7.98
Product	26058	Geometry Glow Bundle	1799ca_8c57f7c13e96462f9f3f66ace649a179~mv2.jpg																				19.95	60%	7.98
Product	26059	Dream Big	1799ca_c955852a71b043acbe85c0fbe64b8bac~mv2.jpg																				19.95	60%	7.98
Product	26060	La Boheme II	1799ca_2e4f0d7540ab4f019a33a05052b35213~mv2.jpg																				19.95	60%	7.98
Product	26061	Please don't do coke in the bathroom	1799ca_f5569a46bad343aea77c96ccfd2d2582~mv2.jpg																				19.95	60%	7.98
Product	26062	Let's stay in bed	1799ca_f9573727f98945be9ec0c04b72840793~mv2.jpg																				19.95	60%	7.98
Product	26063	Gallery Wall	11062b_7226a7a096fc42a29423a60a82573a20~mv2.jpeg																				19.95	60%	7.98
Product	26064	Calm Currents	1799ca_fb5ff82bfef54396b86530988ce5a179~mv2.jpg																				19.95	60%	7.98
Product	26065	Blush & Breeze	1799ca_c17b50b4d60b4829a4e6676f01c7a1cd~mv2.jpg																				19.95	60%	7.98
Product	26066	There is no place like home	1799ca_e6a3b8800a324bf6b88f5e782cea9f90~mv2.jpg																				19.95	60%	7.98
Product	26067	The Pianist	1799ca_11499bde8af449a9a1eceee16b85c3be~mv2.jpg																				19.95	60%	7.98
Product	26068	From the bottom of my heart	1799ca_c35f68eedc92464287f7298dc5099f97~mv2.jpg																				19.95	60%	7.98
Product	26069	Ethereal Flow	1799ca_3814d5d8de7044a58f0325e0df3680bc~mv2.jpg																				19.95	60%	7.98
Product	26070	The Ten Largest, No. 4, Youth	1799ca_bb0fe049e5df4d8c9c0fc1b9090fe647~mv2.jpg																				19.95	60%	7.98
Product	26071	Matisse Bundle	1799ca_f6305b48485d4dfa861e6ac358eab33f~mv2.jpg																				19.95	60%	7.98
Product	26072	Coffee all day club	1799ca_d7ba33180eb244e4abb8c42a5058bb2d~mv2.jpg																				19.95	60%	7.98
Product	26073	Don't ever let your fears	1799ca_83846cd97207444bb77e642cc419f585~mv2.jpg																				19.95	60%	7.98
Product	26074	Seastone Hollow	1799ca_8ffcf34133b24162969b391a72a02e27~mv2.jpg																				19.95	60%	7.98
Product	26075	The Green Pear	1799ca_bdab193b15b5472fb66c0d66dea45b04~mv2.jpg																				19.95	60%	7.98
Product	26076	Feel Good Bundle	1799ca_e84740c1b60d48af943c07f5fcb3d49b~mv2.jpg																				19.95	60%	7.98
Product	26077	Eiffel Tower - Robert Delaunay	1799ca_ec348e50e87c4017a8b2d02ced919a71~mv2.gif																				19.95	60%	7.98
Product	26078	Standing female nude by Karl Isakson	1799ca_f6082acf45544e8db69915e6c18b06d5~mv2.jpg																				19.95	60%	7.98
Product	26079	Roses by Van Gogh	1799ca_7db91ebbeec5414bbebeb9fd796135f8~mv2.jpg																				19.95	60%	7.98
Product	26080	Vivid Tides	1799ca_b409c7f177d14a26bd76348979ae2de3~mv2.jpg																				19.95	60%	7.98
Product	26081	Bauhaus Squares	1799ca_d402a0787e9a4a189057278ed6aaf64f~mv2.jpg																				19.95	60%	7.98
Product	26082	Copenhagen	1799ca_57a3fd6752eb44848cdd2341e10caa26~mv2.jpg																				19.95	60%	7.98
Product	26083	Calm Currents I	1799ca_3b83cd06914e4660b8ab00dd56b36ebe~mv2.jpg																				19.95	60%	7.98
Product	26084	Bauhaus Statement Collection	1799ca_bb79bf5e2b6e427b8203863fa4003b9c~mv2.png																				19.95	60%	7.98
Product	26085	Flower Market - London	1799ca_eb15ee31f37042de99c04bcacf83134d~mv2.jpg																				19.95	60%	7.98
Product	26086	Text & Flowers	1799ca_0f435755c2f24f8394fa39c0528162f7~mv2.jpg																				19.95	60%	7.98
Product	26087	Splash of Serenity	1799ca_d0f8e93ba6794d28b7a2055427a85b78~mv2.jpg																				19.95	60%	7.98
Product	26088	Golden Peel	1799ca_bc7e8e71d06243368af0854607137060~mv2.jpg																				19.95	60%	7.98
Product	26089	Modern Art XV	1799ca_7d11010031b646b9a72c9ead776fbeb3~mv2.jpg																				19.95	60%	7.98
Product	26090	Flora on Sand	1799ca_8f1d103b225a4feb8a14d562f9eb2f08~mv2.jpg																				19.95	60%	7.98
Product	26091	Ocean Hues Bundle	1799ca_5fc14bcae2ff44d583fdc722ef1f0004~mv2.jpg																				19.95	60%	7.98
Product	26092	Bunt im Dreieck	1799ca_61ce215a28944fb29c65ef7cbb3645ff~mv2.jpg																				19.95	60%	7.98
Product	26093	Bless this house	1799ca_ed1143ecc066421a9188de2c6adda798~mv2.jpg																				19.95	60%	7.98
Product	26094	Whispered Light	1799ca_aa4b4148cdb6406c8a3284af865fd7d1~mv2.jpg																				19.95	60%	7.98
Product	26095	Tiggy	1799ca_d55ae677d6f2425c89699daf98fffd14~mv2.jpg																				19.95	60%	7.98
Product	26096	Peaceful Presence	1799ca_fd7ce2097aed401e94c31b639fa40eb7~mv2.jpg																				19.95	60%	7.98
Product	26097	Joy	1799ca_432eeb916a7c42d190dcff9e4b2d8686~mv2.jpg																				19.95	60%	7.98
Product	26098	123...	1799ca_0bc4f4486f2c4db888fbded88ea5a172~mv2.jpg																				19.95	60%	7.98
Product	26099	Bora bora	1799ca_c01f680106764cfab63b87421eeafe06~mv2.jpg																				19.95	60%	7.98
Product	26100	Contemoprary Shape #03	1799ca_68dd1c21ec104cf7bbdc6b529c2c7d84~mv2.jpg																				19.95	60%	7.98
Product	26101	Dusty Serenity	1799ca_061b09519b8b4fa3808f341e4ee1282a~mv2.jpg																				19.95	60%	7.98
Product	26102	Pink Poppies	1799ca_08cd410af0064f4a89f12772a3fa9c45~mv2.gif																				19.95	60%	7.98
Product	26103	Bottle of Rosé	1799ca_6f4c356f62c8463ab27a2567f7f1fd65~mv2.jpg																				19.95	60%	7.98
Product	26104	Arienzo Beach Club	1799ca_38b32032a0524f81bc12be9c45574daf~mv2.jpg																				19.95	60%	7.98
